ABC;Aeropuerto de Albacete;01027
EDI;Aeropuerto de Edimburgo;00000
PNA;Aeropuerto de Pamplona;31201
SBZ;Aeropuerto Internacional de Sibiu;00000
YOW;Aeropuerto Internacional de Ottawa;00000
